ปี/เดือน/วัน,ชั่วโมง,PM10,CO, NO , NO2, NOX , SO2 ,O3, Rain, Net rad, Pressure, Temp, Rel hum
,,at 3 m (มคก./ลบ.ม.),at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (inch),at 3 m (w/m2),at 2 m (mbar),at 2 m ,at 2 m (%)
90101,100,             ,             ,            ,            ,            ,             ,            ,            ,            ,            ,            ,             
90101,200,             ,             ,            ,            ,            ,             ,            ,            ,            ,            ,            ,             
90101,300,             ,             ,            ,            ,            ,             ,            ,            ,            ,            ,            ,             
90120,100,74,0.6,3,3,7,0.5,5,0,-41,985,17,77.0
90120,200,82,0.6,3,3,7,1.3,2,0,-42,985,17,79.0
90120,300,69,             ,            ,            ,            ,             ,            ,0,-38,984,16,84.0
90120,400,63,0.3,0,2,2,1.3,5,0,-33,984,15,86.0
90120,500,70,0.3,1,1,2,1.3,4,0,-31,983,15,86.0
90120,600,44,0.3,3,2,5,1.3,1,0,-29,984,14,87.0
90120,700,110,0.5,8,2,10,1,1,0,-26,984,14,88.0
90120,800,106,0.9,14,2,16,0.799999,1,0,-12,985,14,88.0
90120,900,154,1.7,43,3,47,1.3,2,0,116,986,15,85.0
90120,1000,153,1.9,35,6,41,1.5,6,0,340,987,17,76.0
90120,1100,160,1.5,18,8,26,1.3,17,0,492,988,20,65.0
90120,1200,55,0.8,7,4,12,0.799999,35,0,623,987,23,54.0
90120,1300,99,0.5,5,4,9,1.5,52,0,736,986,26,45.0
90120,1400,53,0.4,3,3,6,1.5,60,0,738,984,28,36.0
90120,1500,54,0.2,2,2,4,0.5,46,0,654,982,29,32.0
90120,1600,117,0.2,1,1,2,1,52,0,365,981,29,32.0
111218,100,35,0.4,1,20,19,0,3,0,-21,984,22.7,96
111218,200,46,0.9,3,19,22,0,3,0,-19,984,21.9,99
